id_instancia,tamanho,num_vertices,num_arestas,num_cores,tempo_execucao,densidade,grafo,coloracao
1,5,5,1,2,3.9577484130859375e-05,0.1,Graph with 5 nodes and 1 edges,"{0: 0, 4: 1, 1: 0, 2: 0, 3: 0}"
2,5,5,1,2,2.86102294921875e-05,0.1,Graph with 5 nodes and 1 edges,"{0: 0, 3: 1, 1: 0, 2: 0, 4: 0}"
3,5,5,3,2,2.9087066650390625e-05,0.3,Graph with 5 nodes and 3 edges,"{2: 0, 0: 1, 1: 0, 3: 1, 4: 1}"
4,6,6,4,2,2.8371810913085938e-05,0.26666666666666666,Graph with 6 nodes and 4 edges,"{2: 0, 4: 1, 5: 0, 0: 1, 3: 1, 1: 0}"
5,6,6,3,2,2.8133392333984375e-05,0.2,Graph with 6 nodes and 3 edges,"{0: 0, 4: 1, 1: 1, 5: 0, 2: 0, 3: 0}"
6,6,6,3,2,2.9087066650390625e-05,0.2,Graph with 6 nodes and 3 edges,"{5: 0, 0: 0, 2: 1, 3: 1, 4: 1, 1: 0}"
7,7,7,13,4,5.91278076171875e-05,0.6190476190476191,Graph with 7 nodes and 13 edges,"{1: 0, 2: 1, 5: 2, 6: 1, 0: 2, 3: 0, 4: 3}"
8,7,7,11,3,3.695487976074219e-05,0.5238095238095238,Graph with 7 nodes and 11 edges,"{5: 0, 2: 1, 4: 2, 3: 0, 0: 1, 1: 1, 6: 2}"
9,7,7,3,2,3.62396240234375e-05,0.14285714285714285,Graph with 7 nodes and 3 edges,"{3: 0, 0: 1, 2: 1, 4: 0, 5: 1, 1: 0, 6: 0}"
10,8,8,14,4,5.078315734863281e-05,0.5,Graph with 8 nodes and 14 edges,"{7: 0, 2: 1, 3: 2, 0: 1, 1: 3, 6: 0, 4: 2, 5: 1}"
11,8,8,12,4,5.030632019042969e-05,0.42857142857142855,Graph with 8 nodes and 12 edges,"{2: 0, 7: 1, 1: 2, 0: 3, 6: 2, 4: 2, 3: 0, 5: 0}"
12,8,8,7,3,4.029273986816406e-05,0.25,Graph with 8 nodes and 7 edges,"{0: 0, 3: 1, 4: 2, 5: 1, 6: 0, 7: 1, 1: 0, 2: 0}"
13,9,9,19,4,5.507469177246094e-05,0.5277777777777778,Graph with 9 nodes and 19 edges,"{5: 0, 7: 1, 8: 2, 2: 3, 3: 1, 0: 0, 4: 3, 6: 2, 1: 0}"
14,9,9,18,4,4.744529724121094e-05,0.5,Graph with 9 nodes and 18 edges,"{2: 0, 4: 1, 0: 2, 1: 3, 8: 2, 5: 1, 6: 3, 7: 3, 3: 0}"
15,9,9,17,3,4.57763671875e-05,0.4722222222222222,Graph with 9 nodes and 17 edges,"{4: 0, 7: 1, 8: 0, 3: 1, 6: 2, 0: 2, 2: 1, 5: 2, 1: 0}"
16,10,10,28,5,0.00010967254638671875,0.6222222222222222,Graph with 10 nodes and 28 edges,"{4: 0, 6: 1, 1: 2, 8: 3, 0: 2, 2: 4, 3: 1, 7: 3, 5: 1, 9: 2}"
17,10,10,19,3,4.792213439941406e-05,0.4222222222222222,Graph with 10 nodes and 19 edges,"{5: 0, 7: 1, 0: 1, 3: 0, 4: 2, 6: 1, 8: 2, 2: 0, 9: 0, 1: 2}"
18,10,10,23,5,0.00012230873107910156,0.5111111111111111,Graph with 10 nodes and 23 edges,"{9: 0, 0: 1, 3: 2, 1: 3, 2: 4, 5: 2, 6: 0, 7: 1, 4: 0, 8: 1}"
19,11,11,33,5,0.00011086463928222656,0.6,Graph with 11 nodes and 33 edges,"{7: 0, 5: 1, 6: 2, 1: 3, 2: 4, 3: 2, 8: 0, 9: 1, 0: 3, 10: 1, 4: 2}"
20,11,11,37,6,0.0011811256408691406,0.6727272727272727,Graph with 11 nodes and 37 edges,"{10: 0, 4: 1, 7: 2, 1: 1, 3: 2, 5: 3, 6: 4, 8: 5, 2: 3, 9: 2, 0: 0}"
21,11,11,33,5,0.0002770423889160156,0.6,Graph with 11 nodes and 33 edges,"{5: 0, 6: 1, 2: 0, 10: 2, 3: 3, 4: 3, 7: 1, 1: 4, 9: 2, 0: 3, 8: 1}"
22,12,12,46,5,0.0001957416534423828,0.696969696969697,Graph with 12 nodes and 46 edges,"{1: 0, 7: 0, 8: 1, 2: 2, 6: 3, 9: 4, 10: 3, 0: 1, 4: 4, 5: 3, 3: 2, 11: 2}"
23,12,12,45,6,0.0019690990447998047,0.6818181818181818,Graph with 12 nodes and 45 edges,"{1: 0, 8: 1, 11: 2, 2: 1, 3: 3, 10: 4, 0: 4, 4: 0, 6: 2, 9: 3, 7: 5, 5: 3}"
24,12,12,43,5,0.00015401840209960938,0.6515151515151515,Graph with 12 nodes and 43 edges,"{11: 0, 2: 1, 4: 2, 6: 3, 9: 3, 1: 0, 5: 4, 7: 1, 0: 2, 8: 4, 3: 4, 10: 2}"
25,13,13,52,7,0.007485866546630859,0.6666666666666666,Graph with 13 nodes and 52 edges,"{0: 0, 1: 1, 3: 2, 12: 3, 7: 4, 9: 4, 2: 2, 4: 5, 5: 3, 8: 6, 10: 5, 11: 0, 6: 1}"
26,13,13,57,7,0.015104055404663086,0.7307692307692307,Graph with 13 nodes and 57 edges,"{1: 0, 4: 1, 7: 2, 11: 3, 12: 4, 3: 1, 6: 2, 10: 5, 0: 0, 2: 3, 9: 6, 5: 5, 8: 4}"
27,13,13,54,6,0.0023686885833740234,0.6923076923076923,Graph with 13 nodes and 54 edges,"{8: 0, 12: 1, 6: 1, 7: 2, 11: 2, 0: 3, 1: 3, 3: 4, 4: 4, 5: 3, 10: 5, 2: 4, 9: 0}"
28,14,14,67,6,0.0004601478576660156,0.7362637362637363,Graph with 14 nodes and 67 edges,"{1: 0, 9: 1, 10: 2, 12: 3, 2: 4, 3: 3, 6: 5, 13: 0, 0: 5, 5: 4, 4: 5, 7: 4, 8: 1, 11: 2}"
29,14,14,65,7,0.004334926605224609,0.7142857142857143,Graph with 14 nodes and 65 edges,"{7: 0, 0: 1, 3: 2, 8: 3, 1: 4, 2: 4, 6: 5, 10: 1, 4: 2, 5: 6, 9: 5, 11: 3, 12: 0, 13: 6}"
30,14,14,70,7,0.005600929260253906,0.7692307692307693,Graph with 14 nodes and 70 edges,"{0: 0, 3: 1, 4: 2, 8: 2, 11: 3, 2: 4, 7: 5, 10: 6, 13: 4, 1: 1, 5: 0, 6: 3, 9: 5, 12: 6}"
31,15,15,84,8,0.19394659996032715,0.8,Graph with 15 nodes and 84 edges,"{2: 0, 8: 1, 9: 2, 12: 3, 1: 3, 13: 4, 4: 1, 5: 5, 6: 6, 0: 0, 3: 4, 7: 2, 10: 7, 14: 4, 11: 5}"
32,15,15,78,8,0.22195172309875488,0.7428571428571429,Graph with 15 nodes and 78 edges,"{0: 0, 3: 1, 4: 2, 2: 3, 9: 4, 10: 3, 1: 2, 5: 0, 6: 5, 8: 6, 11: 4, 13: 7, 14: 1, 12: 5, 7: 6}"
33,15,15,81,7,0.01277613639831543,0.7714285714285715,Graph with 15 nodes and 81 edges,"{3: 0, 0: 1, 1: 2, 8: 1, 2: 3, 7: 2, 9: 4, 10: 3, 13: 5, 5: 6, 6: 4, 11: 4, 12: 5, 4: 0, 14: 4}"
34,16,16,98,9,2.1182262897491455,0.8166666666666667,Graph with 16 nodes and 98 edges,"{0: 0, 14: 1, 4: 2, 5: 3, 7: 2, 10: 4, 11: 3, 1: 5, 2: 6, 3: 1, 6: 5, 9: 6, 12: 7, 13: 8, 8: 4, 15: 0}"
35,16,16,103,10,2.903657913208008,0.8583333333333333,Graph with 16 nodes and 103 edges,"{1: 0, 15: 1, 4: 2, 8: 3, 11: 4, 0: 5, 5: 6, 6: 6, 10: 7, 13: 8, 2: 8, 3: 9, 14: 5, 7: 3, 9: 2, 12: 4}"
36,16,16,101,8,0.029430150985717773,0.8416666666666667,Graph with 16 nodes and 101 edges,"{0: 0, 5: 1, 8: 2, 1: 3, 6: 1, 9: 4, 10: 5, 11: 6, 14: 7, 3: 2, 7: 3, 12: 7, 13: 0, 15: 4, 2: 6, 4: 6}"
37,17,17,122,10,2.195913791656494,0.8970588235294118,Graph with 17 nodes and 122 edges,"{9: 0, 16: 1, 0: 2, 1: 3, 4: 4, 6: 5, 13: 6, 2: 4, 3: 7, 5: 8, 10: 9, 11: 6, 12: 9, 15: 7, 7: 8, 8: 3, 14: 2}"
38,17,17,116,9,0.6795804500579834,0.8529411764705882,Graph with 17 nodes and 116 edges,"{1: 0, 2: 1, 12: 2, 13: 2, 14: 3, 5: 4, 7: 5, 8: 6, 11: 5, 15: 4, 0: 7, 3: 1, 6: 7, 9: 7, 16: 8, 4: 5, 10: 0}"
39,17,17,121,10,15.193662881851196,0.8897058823529411,Graph with 17 nodes and 121 edges,"{10: 0, 11: 1, 2: 2, 5: 3, 6: 4, 9: 5, 12: 6, 0: 7, 4: 3, 8: 4, 13: 6, 15: 5, 1: 2, 3: 7, 7: 8, 14: 9, 16: 8}"
40,18,18,140,11,148.6863296031952,0.9150326797385621,Graph with 18 nodes and 140 edges,"{10: 0, 12: 1, 14: 2, 1: 3, 2: 3, 3: 4, 7: 5, 8: 6, 9: 5, 17: 7, 4: 4, 5: 7, 6: 8, 11: 9, 13: 8, 0: 10, 15: 6, 16: 8}"
41,18,18,142,12,286.99466705322266,0.9281045751633987,Graph with 18 nodes and 142 edges,"{4: 0, 6: 1, 7: 2, 15: 3, 0: 4, 1: 5, 2: 6, 5: 7, 8: 8, 9: 9, 10: 10, 11: 7, 3: 9, 13: 10, 14: 11, 16: 6, 12: 4, 17: 8}"
42,18,18,137,11,41.71656346321106,0.8954248366013072,Graph with 18 nodes and 137 edges,"{11: 0, 12: 1, 14: 2, 16: 3, 0: 4, 5: 5, 9: 6, 10: 6, 13: 7, 1: 8, 2: 8, 4: 9, 7: 9, 8: 10, 6: 7, 17: 4, 3: 10, 15: 5}"
43,19,19,156,12,440.79591727256775,0.9122807017543859,Graph with 19 nodes and 156 edges,"{6: 0, 11: 1, 13: 2, 15: 3, 3: 4, 7: 5, 9: 6, 10: 7, 14: 8, 0: 9, 1: 8, 4: 5, 12: 10, 16: 4, 18: 11, 2: 6, 5: 7, 8: 9, 17: 10}"
44,19,19,150,10,7.320003509521484,0.8771929824561403,Graph with 19 nodes and 150 edges,"{6: 0, 15: 1, 0: 2, 1: 3, 3: 3, 7: 4, 2: 5, 4: 6, 11: 2, 13: 7, 14: 6, 18: 8, 5: 5, 8: 4, 12: 7, 9: 9, 16: 9, 17: 8, 10: 9}"
45,19,19,157,12,279.38355231285095,0.9181286549707602,Graph with 19 nodes and 157 edges,"{0: 0, 3: 1, 5: 2, 8: 3, 11: 4, 6: 5, 7: 6, 12: 5, 13: 7, 14: 8, 2: 9, 9: 10, 16: 11, 18: 9, 1: 11, 4: 6, 10: 9, 15: 8, 17: 7}"
46,20,20,172,13,17268.998744487762,0.9052631578947369,Graph with 20 nodes and 172 edges,"{5: 0, 9: 1, 14: 2, 17: 3, 2: 4, 4: 5, 7: 6, 16: 7, 18: 8, 3: 5, 6: 9, 8: 10, 13: 9, 15: 11, 0: 4, 10: 6, 12: 11, 1: 7, 11: 12, 19: 8}"
47,20,20,173,12,821.7982723712921,0.9105263157894737,Graph with 20 nodes and 173 edges,"{12: 0, 3: 1, 4: 2, 6: 3, 7: 4, 10: 5, 11: 6, 14: 7, 18: 8, 19: 9, 0: 10, 1: 7, 8: 1, 9: 4, 13: 9, 15: 10, 5: 2, 16: 11, 17: 5, 2: 3}"
48,20,20,168,13,6102.129274845123,0.8842105263157894,Graph with 20 nodes and 168 edges,"{2: 0, 6: 1, 0: 2, 4: 3, 5: 4, 12: 5, 15: 6, 19: 7, 3: 8, 7: 9, 14: 10, 17: 8, 1: 11, 8: 9, 10: 12, 18: 3, 9: 11, 13: 4, 11: 2, 16: 5}"
